PLAYER,TEAM,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,STARTER,HOME,GP
John Collins,ATL,30.3095,6.5,11.25,0.5469,0.75,2.5,0.2125,1.375,1.875,0.325,2.75,7.25,10.0,3.0,1.0,0.875,1.375,3.125,15.125,2.0,1.0,0.375,8
John Konchar,MEM,12.1736,0.75,1.625,0.2209,0.125,0.75,0.0625,0.0,0.25,0.0,0.75,1.5,2.25,0.875,0.5,0.375,0.375,1.375,1.625,-1.25,0.0,0.5,8
Jonas Valančiūnas,NOP,33.7578,7.1111,14.4444,0.5147,0.8889,1.6667,0.287,4.1111,4.5556,0.9285,4.0,10.1111,14.1111,2.5556,0.7778,1.1111,2.1111,3.1111,19.2222,-2.2222,1.0,0.4444,9
Jonathan Kuminga,GSW,3.958,0.5,2.5,0.125,0.5,2.0,0.1665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.5,-2.0,0.0,1.0,2
Jordan Clarkson,UTA,25.0609,5.2857,15.7143,0.3423,1.8571,9.2857,0.203,2.0,2.2857,0.8571,0.7143,2.4286,3.1429,1.4286,1.0,0.1429,1.7143,1.4286,14.4286,5.0,0.0,0.4286,7
Jordan McLaughlin,MIN,11.7987,0.8571,2.2857,0.2551,0.2857,1.1429,0.1714,0.5714,0.8571,0.2857,0.1429,0.8571,1.0,2.0,0.8571,0.0,0.5714,0.7143,2.5714,-3.8571,0.0,0.8571,7
Jordan Nwora,MIL,22.8227,3.5,9.375,0.3564,1.5,4.75,0.2854,0.875,1.125,0.325,0.375,3.75,4.125,1.625,0.125,0.625,0.875,1.25,9.375,0.375,0.0,0.5,8
Jordan Poole,GSW,28.4431,6.5714,15.2857,0.4221,2.2857,7.5714,0.2431,1.0,1.1429,0.4286,0.2857,2.4286,2.7143,3.5714,1.5714,0.4286,2.7143,2.5714,16.4286,4.8571,1.0,0.5714,7
Jose Alvarado,NOP,0.1166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.0,0.4444,9
Josh Christopher,HOU,4.0194,0.7143,2.0,0.2788,0.1429,0.5714,0.1429,0.2857,0.2857,0.1429,0.1429,0.4286,0.5714,0.4286,0.4286,0.0,0.5714,0.1429,1.8571,2.2857,0.0,0.4286,7
Josh Giddey,OKC,29.0976,4.7143,10.7143,0.4181,0.8571,2.7143,0.2594,1.0,1.5714,0.4049,0.8571,4.8571,5.7143,5.8571,1.4286,0.7143,2.0,2.1429,11.2857,-9.8571,1.0,0.4286,7
Josh Green,DAL,4.276,0.125,0.875,0.0625,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.75,1.25,0.25,0.0,0.125,0.25,0.25,0.25,1.875,0.0,0.5,8
Josh Hart,NOP,24.9328,4.2,7.6,0.6318,1.0,2.8,0.2634,1.0,1.6,0.5,1.2,4.2,5.4,2.2,0.2,0.4,0.8,2.4,10.4,-4.6,0.8,0.6,5
Josh Jackson,DET,22.2327,3.4286,8.0,0.3906,1.1429,3.8571,0.2619,1.0,2.0,0.2976,0.8571,3.4286,4.2857,2.2857,0.4286,0.5714,1.5714,2.1429,9.0,-4.8571,0.2857,0.4286,7
Josh Okogie,MIN,13.3492,1.0,3.0,0.1643,0.2857,1.1429,0.0571,0.8571,1.5714,0.4643,0.8571,1.7143,2.5714,0.8571,1.0,0.2857,0.4286,1.0,3.1429,5.5714,0.5714,0.8571,7
Josh Richardson,BOS,21.3599,2.5714,6.0,0.3107,1.0,3.0,0.2429,0.5714,0.7143,0.2143,0.8571,1.7143,2.5714,1.0,0.5714,0.4286,0.8571,1.8571,6.7143,-5.0,0.0,0.4286,7
Joshua Primo,SAS,1.14,0.4,0.4,0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.8,5
Jrue Holiday,MIL,10.785,2.75,4.0,0.3453,1.25,2.0,0.3125,0.25,0.5,0.125,0.5,0.75,1.25,1.5,0.25,0.0,1.25,0.75,7.0,5.75,0.5,0.25,4
Juan Hernangómez,BOS,1.4165,0.25,0.75,0.1666,0.125,0.375,0.125,0.125,0.25,0.0625,0.25,0.375,0.625,0.0,0.25,0.0,0.375,0.125,0.75,-2.875,0.0,0.375,8
Juan Toscano-Anderson,GSW,12.5855,1.0,2.5714,0.4047,0.5714,1.4286,0.2857,0.4286,0.5714,0.2143,0.4286,1.2857,1.7143,1.7143,0.4286,0.2857,0.5714,1.0,3.0,0.8571,0.0,0.5714,7
Julius Randle,NYK,37.1938,7.0,16.875,0.4151,1.875,5.25,0.3599,4.75,5.75,0.6009,2.25,9.0,11.25,5.875,0.75,1.0,3.25,2.75,20.625,1.25,1.0,0.5,8
Justin Champagnie,TOR,1.8918,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.125,0.375,0.375,0.75,0.125,0.0,0.0,0.0,0.375,0.25,2.0,0.0,0.625,8
Justin Holiday,IND,29.1342,3.1111,8.5556,0.3604,2.1111,6.7778,0.3047,0.2222,0.2222,0.1111,0.1111,2.6667,2.7778,1.6667,0.7778,0.3333,1.4444,2.0,8.5556,1.8889,0.6667,0.5556,9
Justin Robinson,MIL,17.0648,1.875,4.375,0.4523,1.0,2.875,0.3125,0.25,0.25,0.125,0.25,1.0,1.25,1.375,0.875,0.0,1.0,1.25,5.0,-2.5,0.0,0.5,8
Justise Winslow,LAC,9.796,1.2857,3.7143,0.2737,0.0,0.7143,0.0,0.1429,0.2857,0.0714,0.5714,1.1429,1.7143,1.0,0.4286,0.5714,1.1429,1.2857,2.7143,-2.7143,0.0,0.5714,7
Jusuf Nurkić,POR,25.6455,4.375,8.25,0.5335,0.125,0.875,0.125,2.375,3.625,0.4844,3.375,8.25,11.625,1.875,1.375,0.75,2.25,2.125,11.25,4.5,1.0,0.5,8
KZ Okpala,MIA,2.6197,0.1667,0.3333,0.0833,0.1667,0.1667,0.1667,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.1667,0.5,0.3333,0.0,0.5,6
Kai Jones,CHO,0.2167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222,0.0,0.0,-0.5556,0.0,0.4444,9
Karl-Anthony Towns,MIN,34.7366,8.2857,16.5714,0.5074,3.1429,6.5714,0.5036,4.1429,4.8571,0.8899,3.5714,5.8571,9.4286,4.0,1.7143,1.4286,4.0,3.2857,23.8571,-0.7143,1.0,0.8571,7
